epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,178.492,0,12.8657,0,0.0001,0.0625,0.00013,1e-05,4.97919,4.20938,3.87213,0.000693125,0.000693125,0.000693125
47,181.748,0,12.4998,0,0.0001,0.0625,0.00013,1e-05,4.96384,4.20905,3.92726,0.00068075,0.00068075,0.00068075
48,184.655,0,12.1413,0,0.0001,0.0625,0.00013,1e-05,5.01849,4.25987,4.15331,0.000668375,0.000668375,0.000668375
49,188.713,0,11.8016,0,0.0001,0.0625,0.00013,1e-05,4.80905,4.27357,4.08742,0.000656,0.000656,0.000656
50,194.104,0,11.4831,0,0.0001,0.0625,0.00013,1e-05,4.65,4.28376,3.90447,0.000643625,0.000643625,0.000643625
51,197.112,0,11.1732,0,0.0001,0.0625,0.00013,1e-05,4.62973,4.2923,3.87384,0.00063125,0.00063125,0.00063125
52,199.954,0,10.8619,0,0.0001,0.0625,0.00013,1e-05,4.59728,4.30482,3.87439,0.000618875,0.000618875,0.000618875
53,203.108,0,10.5599,0,0.0001,0.0625,0.00013,1e-05,4.52967,4.30201,3.7708,0.0006065,0.0006065,0.0006065
54,207.607,0,10.2755,0,0.0001,0.0625,0.00013,1e-05,4.58576,4.32345,3.8393,0.000594125,0.000594125,0.000594125
55,213.028,0,10.0118,0,0.0001,0.0625,0.00013,1e-05,4.16761,4.59138,3.71369,0.00058175,0.00058175,0.00058175
56,216.421,0,9.75903,0,0.0001,0.0625,0.00013,1e-05,4.18674,4.66086,3.65234,0.000569375,0.000569375,0.000569375
57,219.41,0,9.50461,0,0.0001,0.0625,0.00013,1e-05,4.14931,4.54906,3.53837,0.000557,0.000557,0.000557
58,222.42,0,9.27674,0,0.0001,0.0625,0.00013,1e-05,3.9713,4.61525,3.42527,0.000544625,0.000544625,0.000544625
59,227.023,0,9.05328,0,0.0001,0.0625,0.00013,1e-05,3.96182,4.59509,3.48542,0.00053225,0.00053225,0.00053225
60,232.405,0,8.84653,0,0.0001,0.0625,0.00013,1e-05,4.096,4.60467,3.50793,0.000519875,0.000519875,0.000519875
61,235.467,0,8.62765,0,0.0001,0.0625,0.00013,1e-05,4.10633,4.59441,3.55992,0.0005075,0.0005075,0.0005075
62,238.42,0,8.4039,0,0.0001,0.0625,0.00013,1e-05,4.10094,4.64041,3.57393,0.000495125,0.000495125,0.000495125
63,241.459,0,8.21931,0,0.0001,0.0625,0.00013,1e-05,4.17981,4.57531,3.65012,0.00048275,0.00048275,0.00048275
64,245.991,0,8.04158,0,0.0001,0.0625,0.00013,1e-05,4.24637,4.59738,3.64507,0.000470375,0.000470375,0.000470375
65,251.075,0,7.87808,0,0.0001,0.0625,0.00013,1e-05,4.16182,4.56346,3.58984,0.000458,0.000458,0.000458
66,254.135,0,7.70426,0,0.0001,0.0625,0.00013,1e-05,4.21653,4.61445,3.53381,0.000445625,0.000445625,0.000445625
67,257.124,0,7.54581,0,0.0001,0.0625,0.00013,1e-05,4.26845,4.63058,3.57659,0.00043325,0.00043325,0.00043325
68,260.151,0,7.39872,0,0.0001,0.0625,0.00013,1e-05,4.22863,4.6428,3.57988,0.000420875,0.000420875,0.000420875
69,264.332,0,7.25368,0,0.0001,0.0625,0.00013,1e-05,4.31423,4.6894,3.69066,0.0004085,0.0004085,0.0004085
70,269.509,0,7.11118,0,0.0001,0.0625,0.00013,1e-05,4.35772,4.71564,3.76178,0.000396125,0.000396125,0.000396125
71,272.599,0,6.97976,0,0.0001,0.0625,0.00013,1e-05,4.45213,4.60292,3.8365,0.00038375,0.00038375,0.00038375
72,275.524,0,6.85729,0,0.0001,0.0625,0.00013,1e-05,4.43711,4.64098,3.7815,0.000371375,0.000371375,0.000371375
73,278.422,0,6.73735,0,0.0001,0.0625,0.00013,1e-05,4.31604,4.68134,3.79316,0.000359,0.000359,0.000359
74,282.149,0,6.6248,0,0.0001,0.0625,0.00013,1e-05,4.22348,4.7185,3.70577,0.000346625,0.000346625,0.000346625
75,287.257,0,6.51751,0,0.0001,0.0625,0.00013,1e-05,4.06244,4.75634,3.63848,0.00033425,0.00033425,0.00033425
76,290.766,0,6.41594,0,0.0001,0.0625,0.00013,1e-05,4.05743,4.76244,3.6902,0.000321875,0.000321875,0.000321875
77,293.832,0,6.31417,0,0.0001,0.0625,0.00013,1e-05,4.0385,4.75722,3.75885,0.0003095,0.0003095,0.0003095
78,296.689,0,6.21395,0,0.0001,0.0625,0.00013,1e-05,3.97462,4.75154,3.47043,0.000297125,0.000297125,0.000297125
79,300.15,0,6.12937,0,0.0001,0.0625,0.00013,1e-05,3.8701,4.80001,3.55372,0.00028475,0.00028475,0.00028475
80,304.903,0,6.04529,0,0.0001,0.0625,0.00013,1e-05,3.92325,4.75777,3.67562,0.000272375,0.000272375,0.000272375
81,308.542,0,5.96357,0,0.0001,0.0625,0.00013,1e-05,3.91647,4.77413,3.63216,0.00026,0.00026,0.00026
82,311.379,0,5.88903,0,0.0001,0.0625,0.00013,1e-05,3.90412,4.78333,3.58791,0.000247625,0.000247625,0.000247625
83,314.51,0,5.82247,0,0.0001,0.0625,0.00013,1e-05,3.95421,4.7917,3.62371,0.00023525,0.00023525,0.00023525
84,317.88,0,5.75614,0,0.0001,0.0625,0.00013,1e-05,3.81123,4.77837,3.63129,0.000222875,0.000222875,0.000222875
85,322.909,0,5.69556,0,0.0001,0.0625,0.00013,1e-05,3.93856,4.8083,3.77603,0.0002105,0.0002105,0.0002105
86,326.554,0,5.63799,0,0.0001,0.0625,0.00013,1e-05,3.87553,4.74634,4.39008,0.000198125,0.000198125,0.000198125
87,329.546,0,5.58653,0,0.0001,0.0625,0.00013,1e-05,3.98074,4.77784,3.84111,0.00018575,0.00018575,0.00018575
88,332.457,0,5.54023,0,0.0001,0.0625,0.00013,1e-05,4.02944,4.81176,3.8224,0.000173375,0.000173375,0.000173375
89,335.653,0,5.49305,0,0.0001,0.0625,0.00013,1e-05,4.06657,4.83391,3.95998,0.000161,0.000161,0.000161
90,340.687,0,5.44731,0,0.0001,0.0625,0.00013,1e-05,4.08651,4.89838,3.94265,0.000148625,0.000148625,0.000148625
91,345.505,0,5.41353,0,0.0001,0.0625,0.00013,1e-05,4.0481,4.90035,4.37821,0.00013625,0.00013625,0.00013625
92,348.702,0,5.37594,0,0.0001,0.0625,0.00013,1e-05,4.11639,4.92287,4.74648,0.000123875,0.000123875,0.000123875
93,351.593,0,5.34305,0,0.0001,0.0625,0.00013,1e-05,4.11994,4.93411,4.6506,0.0001115,0.0001115,0.0001115
94,355.511,0,5.31159,0,0.0001,0.0625,0.00013,1e-05,4.13349,4.91832,4.45306,9.9125e-05,9.9125e-05,9.9125e-05
95,360.613,0,5.28571,0,0.0001,0.0625,0.00013,1e-05,4.15545,4.93549,4.66852,8.675e-05,8.675e-05,8.675e-05
96,363.633,0,5.26654,0,0.0001,0.0625,0.00013,1e-05,4.12932,4.94373,4.57878,7.4375e-05,7.4375e-05,7.4375e-05
97,366.43,0,5.24974,0,0.0001,0.0625,0.00013,1e-05,4.1935,4.90709,4.78558,6.2e-05,6.2e-05,6.2e-05
98,369.315,0,5.23584,0,0.0001,0.0625,0.00013,1e-05,4.17687,4.9066,4.18427,4.9625e-05,4.9625e-05,4.9625e-05
99,373.052,0,5.22014,0,0.0001,0.0625,0.00013,1e-05,4.13393,4.92457,4.34779,3.725e-05,3.725e-05,3.725e-05
100,378.295,0,5.21065,0,0.0001,0.0625,0.00013,1e-05,4.14956,4.93184,4.20918,2.4875e-05,2.4875e-05,2.4875e-05
